251
0 8
c3050 0 3084.6
c3052 0 3997
c3053 0 3138.96
c3054 0 3994
c3057 0 2828.89
c3060 0 3997
c3061 0 3997
c3063 0 3917.2
c3064 0 3334.76
c3066 0 3789.84
c3067 0 3839.73
c3068 0 3994
c3069 0 3400.89
c3070 0 3913.72
c3071 0 3997
c3072 0 3799.73
c3073 0 3994
c3077 0 3557.52
c3079 0 3916.29
c3080 0 3257.66
c3083 0 3766.29
c3084 0 3997
c3085 0 3854.52
c3087 0 3994
c3089 0 3275.72
c3091 0 3798.92
c3092 0 3865.4
c3093 0 3823.61
c3094 0 3575.74
c3098 0 3994
c3100 0 3943.88
c3101 0 3994
c3102 0 3997
c3104 0 3968.03
c3105 0 3178.73
c3107 0 3994
c3108 0 3994
c3109 0 3997
c3113 0 870.377
c3115 0 35.235
c3118 0 0
c3119 0 0
c3122 0 273.662
c3123 0 239.599
c3124 0 512.618
c3125 0 611.655
c3126 0 975.246
c3132 0 0
c3134 0 48.056
c3135 0 0
c3137 0 159.003
c3138 0 166.701
c3142 0 0
c3145 0 1010.73
c3149 0 465.307
c3150 0 318.041
c3152 0 0
c3153 0 320.686
c3156 0 43.485
c3157 0 0
c3158 0 0
c3159 0 0
c3160 0 595.351
c3161 0 87.14
c3162 0 416.517
c3163 0 662.248
c3166 0 479.987
c3167 0 301.761
c3169 0 330.335
c3170 0 319.358
c3171 0 81.148
c3172 0 17.389
c3177 0 766.581
c3178 0 0
c3181 0 0
c3182 0 690.744
c3185 0 907.515
c3186 0 515.147
c3190 0 0
c3192 0 951.519
c3195 0 639.097
c3199 0 464.813
c3200 0 469.479
c3203 0 608.357
c3204 0 172.063
c3205 0 1302.85
c3210 0 0
c3214 0 699.164
c3215 0 815.701
c3217 0 1124.09
c3218 0 752.992
c3221 0 540.248
c3222 0 0
c3227 0 783.172
c3233 0 276.694
c3235 0 901.753
c3236 0 1013.75
c3237 0 264.453
c3238 0 448.609
c3240 0 630.098
c3241 0 548.87
c3243 0 1484.63
c3244 0 984.943
c3246 0 0
c3247 0 767.283
c3249 0 603.151
c3250 0 816.405
c3252 0 1276.2
c3255 0 0
c3257 0 117.437
c3258 0 399.872
c3261 0 880.364
c3262 0 602.902
c3264 0 1486.26
c3265 0 76.052
c3270 0 1091.2
c3271 0 1232.81
c3273 0 1673.8
c3274 0 1033.2
c3277 0 241.617
c3278 0 771.954
c3279 0 135.444
c3280 0 920.491
c3281 0 1110.84
c3283 0 1150.86
c3285 0 1668.53
c3287 0 971.718
c3290 0 2131.03
c3291 0 1656.2
c3292 0 1417.68
c3298 0 1704.65
c3299 0 1479.08
c3301 0 648.333
c3302 0 808.233
c3306 0 1218.32
c3309 0 734.435
c3311 0 1450.14
c3312 0 1119.88
c3314 0 1610.3
c3316 0 1503.74
c3317 0 1275.56
c3319 0 1382.76
c3320 0 1159.39
c3321 0 1266.62
c3323 0 774.095
c3326 0 1805.8
c3327 0 1521.26
c3328 0 1271.65
c3330 0 573.982
c3333 0 1041.44
c3336 0 1521.75
c3342 0 1461.77
c3343 0 1016.21
c3345 0 1705.18
c3347 0 1376.07
c3348 0 989.322
c3350 0 1377.85
c3351 0 1150.02
c3355 0 1098.06
c3360 0 1092.59
c3363 0 1034.89
c3365 0 1441.53
c3369 0 1162.09
c3373 0 1178.31
c3374 0 798.688
c3378 0 1692.28
c3379 0 1504.87
c3382 0 1194.54
c3385 0 1916.34
c3387 0 667.887
c3394 0 2818.56
c3396 0 1571.19
c3397 0 2356.68
c3400 0 1207.69
c3405 0 2032.83
c3407 0 1528.56
c3411 0 1404.24
c3415 0 2945.32
c3416 0 1712.66
c3420 0 1843.32
c3434 0 1957.37
c3437 0 1636.61
c3438 0 1962.81
c3442 0 1327.72
c3443 0 1601.17
c3445 0 2124.03
c3451 0 1865.28
c3453 0 2007.56
c3458 0 2157.28
c3461 0 2577.22
c3467 0 2414.11
c3468 0 2514.49
c3470 0 1846.41
c3471 0 2619.57
c3473 0 1807.45
c3475 0 2592.09
c3480 0 2926.52
c3481 0 2333.72
c3483 0 2052.45
c3485 0 2429.98
c3486 0 2248.7
c3487 0 1962.34
c3488 0 2751.08
c3491 0 2078.56
c3492 0 2545.96
c3498 0 2319.75
c3499 0 1797.99
c3501 0 1402.47
c3508 0 1915.16
c3513 0 1713.43
c3514 0 1845.84
c3517 0 2088.97
c3518 0 2347.08
c3519 0 1878.35
c3521 0 2788.96
c3525 0 2914.46
c3528 0 2335.09
c3532 0 2540.93
c3535 0 2560.97
c3536 0 2443.48
c3538 0 2295.9
c3540 0 2536.05
c3543 0 2709.51
c3544 0 2128.96
c3546 0 2458.8
c3548 0 2753.82
c3550 0 2319
c3557 0 2517.53
c3558 0 2050.18
c3559 0 2593.81
c3561 0 2781.03
c3562 0 2516.09
c3565 0 2649.52
c3566 0 2234.56
c3567 0 2347.66
c3570 0 1964.91
c3571 0 2563.29
c3573 0 2649.79
c3574 0 2278.74
c3575 0 2514.67
c3576 0 2472.07
c3578 0 2535.03
c3580 0 2595.47
c3581 0 2868.19
c3582 0 3162.44
c3583 0 2348.96
c3585 0 2936.02
c3588 0 2479.48
c3595 0 2549.59
c3596 0 2859.84
c3599 0 2672.73
c3606 0 2539.55
8 8
c1719 8 0
c1893 8 1264.25
c1907 8 991.344
c1952 8 1405.95
c1991 8 1046.63
c2043 8 1411.82
c2113 8 2001.88
c2152 8 3092.91
